question,answer,category
大一新生去哪里报到？,请到各学院门口的公告栏查看具体报到地点，根据公告指引前往所属班级教室完成报到手续。,报到
报到需要带什么材料？,请携带录取通知书、身份证、高考准考证、一寸免冠照片（8张）、个人档案（密封）、党/团组织关系介绍信。,报到
报到当天几点到校合适？,建议上午8:00-10:00到达，避开中午高峰，各学院报到点一般在17:00前关闭。,报到
家长可以陪同进校报到吗？,可以，但需凭家长身份证在门卫处登记，且仅限报到当天，建议最多2位家长陪同。,报到
宿舍是几人间？怎么分配？,本科生以4人间为主，部分为6人间，由学校统一按学院和专业分配，报到当天会告知宿舍号。,住宿
宿舍床铺尺寸是多少？,一般为0.9m×2.0m，建议提前确认，购买床上用品时参考此尺寸。,住宿
宿舍晚上几点关门？,23:00关门，次日6:00开门，晚归需登记，多次晚归将通报学院。,住宿
宿舍能用电器吗？,严禁使用大功率电器（如电热水壶、电饭煲、电热毯等），允许使用小功率（≤800W）的吹风机。,住宿
校园卡在哪里办理？,报到当天在学院报到处统一发放，若遗失可去校园卡服务中心（学生活动中心一楼）补办。,校园卡
校园卡怎么充值？,"支持微信/支付宝扫码充值（关注""XX大学校园卡""公众号），也可在食堂自助圈存机现金充值。",校园卡
校园卡丢了怎么挂失？,"立即在""XX大学校园卡""公众号或圈存机上挂失，再前往校园卡服务中心补办，工本费15元。",校园卡
学校有几个食堂？哪个好吃？,共有3个食堂：一食堂（家常菜）、二食堂（风味小吃）、清真食堂。建议开学后逐个尝试。,食堂
食堂开放时间？,早餐 6:30-9:00，午餐 11:00-13:30，晚餐 16:30-19:30，夜宵 20:00-22:00（仅二食堂）。,食堂
食堂可以用支付宝/微信吗？,目前仅支持校园卡刷卡，暂不支持移动支付，请提前充值校园卡。,食堂
新生什么时候选课？,通常在开学后第2周启动，具体时间见教务处官网通知，届时会安排选课指导讲座。,选课
选课系统网址是多少？,"http://jwc.xxu.edu.cn ，也可通过学校官网""教务系统""入口进入。",选课
选课没选上怎么办？,可在补选/退选阶段再次尝试，或联系学院教务秘书申请人工加课。,选课
军训什么时候开始？持续多久？,报到后第3天开始，持续14天（含周末），在校内操场进行。,军训
军训需要自带物品吗？,需自备水杯、防晒霜、舒适运动鞋、换洗衣物，军训服装由学校统一发放。,军训
身体不好可以免军训吗？,需提供三甲医院开具的证明，经学院审批后可转为观训或后勤服务。,军训
学校快递地址怎么写？,湖南省长沙市XX区XX路123号 XX大学XX校区 学生公寓XX栋 邮编410000。,快递
快递在哪里取？,各校区设有菜鸟驿站（一食堂旁），凭取件码或身份码取件。,快递
快递能放几天？,免费存放3天，超时每天收取1元保管费，最长存放7天未取将退回。,快递
从火车站怎么去学校？,地铁2号线→XX站下车，步行500米即到；或公交301路直达校门口。,交通
从机场怎么去学校？,地铁6号线→XX站换乘2号线→XX站下车；或打车约60元。,交通
大一可以带电脑吗？,可以，建议带笔记本电脑方便做作业和查阅资料，但注意保管好个人物品。,学习
大一有晚自习吗？,部分学院安排大一晚自习（19:00-21:00），具体以学院通知为准。,学习
社团招新什么时候？,"一般在军训结束后第1周，有""百团大战""集中招新活动，届时可现场咨询。",社团
图书馆怎么借书？,凭校园卡在自助借还机操作，本科生最多可借10册，借期30天，可续借1次。,图书馆
图书馆开放时间？,周一至周日 8:00-22:00，节假日另行通知。,图书馆
